Results of Simulation 1

Time	Q	dQ
100.6	9.41731	-0.941731
100.8	9.23084	-0.923084
101	9.04806	-0.904806
101.2	8.86889	-0.886889
101.4	8.69328	-0.869328
101.6	8.52114	-0.852114
101.8	8.35241	-0.835241
102	8.18702	-0.818702
102.2	8.02491	-0.802491
102.4	7.866	-0.7866
102.6	7.71025	-0.771025
102.8	7.55757	-0.755757
103	7.40792	-0.740792
103.2	7.26124	-0.726124
103.4	7.11746	-0.711746
103.6	6.97652	-0.697652
103.8	6.83838	-0.683838
104	6.70297	-0.670297
104.2	6.57024	-0.657024
104.4	6.44014	-0.644014
104.6	6.31262	-0.631262
104.8	6.18762	-0.618762
105	6.0651	-0.60651
105.2	5.945	-0.5945
105.4	5.82728	-0.582728
105.6	5.71189	-0.571189
105.8	5.59879	-0.559879
106	5.48793	-0.548793
106.2	5.37926	-0.537926
106.4	5.27274	-0.527274
106.6	5.16833	-0.516833
106.8	5.06599	-0.506599
107	4.96568	-0.496568
107.2	4.86735	-0.486735
107.4	4.77097	-0.477097
107.6	4.6765	-0.46765
107.8	4.5839	-0.45839
108	4.49313	-0.449313
108.2	4.40416	-0.440416
108.4	4.31695	-0.431695
108.6	4.23147	-0.423147
108.8	4.14768	-0.414768
109	4.06555	-0.406555
109.2	3.98505	-0.398505
109.4	3.90614	-0.390614
109.6	3.8288	-0.38288
109.8	3.75298	-0.375298
110	3.67867	-0.367867
110.2	3.60582	-0.360582
110.4	3.53442	-0.353442
110.6	3.46444	-0.346444
110.8	3.39584	-0.339584
111	3.32859	-0.332859
111.2	3.26268	-0.326268
111.4	3.19808	-0.319808
111.6	3.13475	-0.313475
111.8	3.07268	-0.307268
112	3.01184	-0.301184
112.2	2.9522	-0.29522
112.4	2.89374	-0.289374
112.6	2.83644	-0.283644
112.8	2.78028	-0.278028
113	2.72522	-0.272522
113.2	2.67126	-0.267126
113.4	2.61837	-0.261837
113.6	2.56652	-0.256652
113.8	2.5157	-0.25157
114	2.46588	-0.246588
114.2	2.41706	-0.241706
114.4	2.3692	-0.23692
114.6	2.32228	-0.232228
114.8	2.2763	-0.22763
115	2.23122	-0.223122
115.2	2.18704	-0.218704
115.4	2.14374	-0.214374
115.6	2.10129	-0.210129
115.8	2.05968	-0.205968
116	2.01889	-0.201889
116.2	1.97892	-0.197892
116.4	1.93973	-0.193973
116.6	1.90132	-0.190132
116.8	1.86367	-0.186367
117	1.82677	-0.182677
117.2	1.7906	-0.17906
117.4	1.75514	-0.175514
117.6	1.72039	-0.172039
117.8	1.68632	-0.168632
118	1.65293	-0.165293
