Results of Simulation 1

Time	Q	dQ
109.2	3.98501	-0.398501
109.4	3.9061	-0.39061
109.6	3.82876	-0.382876
109.8	3.75294	-0.375294
110	3.67863	-0.367863
110.2	3.60579	-0.360579
110.4	3.53439	-0.353439
110.6	3.4644	-0.34644
110.8	3.3958	-0.33958
111	3.32856	-0.332856
111.2	3.26265	-0.326265
111.4	3.19805	-0.319805
111.6	3.13472	-0.313472
111.8	3.07265	-0.307265
112	3.01181	-0.301181
112.2	2.95217	-0.295217
112.4	2.89371	-0.289371
112.6	2.83641	-0.283641
112.8	2.78025	-0.278025
113	2.7252	-0.27252
113.2	2.67123	-0.267123
113.4	2.61834	-0.261834
113.6	2.56649	-0.256649
113.8	2.51567	-0.251567
114	2.46586	-0.246586
114.2	2.41703	-0.241703
114.4	2.36917	-0.236917
114.6	2.32226	-0.232226
114.8	2.27628	-0.227628
115	2.2312	-0.22312
115.2	2.18702	-0.218702
115.4	2.14372	-0.214372
115.6	2.10127	-0.210127
115.8	2.05966	-0.205966
116	2.01887	-0.201887
116.2	1.9789	-0.19789
116.4	1.93971	-0.193971
116.6	1.9013	-0.19013
116.8	1.86365	-0.186365
117	1.82675	-0.182675
117.2	1.79058	-0.179058
117.4	1.75512	-0.175512
117.6	1.72037	-0.172037
117.8	1.6863	-0.16863
118	1.65291	-0.165291
118.2	1.62018	-0.162018
118.4	1.5881	-0.15881
118.6	1.55665	-0.155665
118.8	1.52583	-0.152583
119	1.49562	-0.149562
119.2	1.466	-0.1466
119.4	1.43697	-0.143697
119.6	1.40852	-0.140852
119.8	1.38063	-0.138063
120	1.35329	-0.135329
120.2	1.32649	-0.132649
120.4	1.30023	-0.130023
120.6	1.27448	-0.127448
120.8	1.24924	-0.124924
121	1.22451	-0.122451
121.2	1.20026	-0.120026
121.4	1.17649	-0.117649
121.6	1.1532	-0.11532
121.8	1.13036	-0.113036
122	1.10798	-0.110798
122.2	1.08604	-0.108604
122.4	1.06454	-0.106454
122.6	1.04346	-0.104346
122.8	1.02279	-0.102279
123	1.00254	-0.100254
123.2	0.982691	-0.0982691
123.4	0.963231	-0.0963231
123.6	0.944157	-0.0944157
123.8	0.925461	-0.0925461
124	0.907135	-0.0907135
124.2	0.889173	-0.0889173
124.4	0.871565	-0.0871565
124.6	0.854307	-0.0854307
124.8	0.83739	-0.083739
125	0.820808	-0.0820808
125.2	0.804555	-0.0804555
125.4	0.788623	-0.0788623
125.6	0.773007	-0.0773007
125.8	0.7577	-0.07577
126	0.742697	-0.0742697
126.2	0.727991	-0.0727991
126.4	0.713575	-0.0713575
126.6	0.699446	-0.0699446
126.8	0.685596	-0.0685596
127	0.67202	-0.067202
127.2	0.658713	-0.0658713
127.4	0.64567	-0.064567
127.6	0.632885	-0.0632885
127.8	0.620353	-0.0620353
128	0.608069	-0.0608069
128.2	0.596028	-0.0596028
128.4	0.584226	-0.0584226
128.6	0.572658	-0.0572658
128.8	0.561318	-0.0561318
129	0.550203	-0.0550203
129.2	0.539308	-0.0539308
129.4	0.528629	-0.0528629
129.6	0.518161	-0.0518161
129.8	0.507901	-0.0507901
130	0.497844	-0.0497844
130.2	0.487986	-0.0487986
130.4	0.478323	-0.0478323
130.6	0.468852	-0.0468852
130.8	0.459568	-0.0459568
131	0.450468	-0.0450468
131.2	0.441548	-0.0441548
131.4	0.432805	-0.0432805
131.6	0.424235	-0.0424235
131.8	0.415834	-0.0415834
132	0.4076	-0.04076
132.2	0.399529	-0.0399529
132.4	0.391618	-0.0391618
132.6	0.383863	-0.0383863
132.8	0.376262	-0.0376262
133	0.368812	-0.0368812
133.2	0.361509	-0.0361509
133.4	0.35435	-0.035435
133.6	0.347334	-0.0347334
133.8	0.340456	-0.0340456
134	0.333715	-0.0333715
